url, headline, published_date, standfirst, lead, keywords, tag, img_src,facebook_engagements, shares, comments, reactions, breaking
https://www.tnp.sg/news/singapore/virgin-active-members-slam-fitness-club-response-use-cctv-camera,Virgin Active members slam fitness club for  'rude' response over use of CCTV camera,"Mar 19, 2019 06:00 am",Members of Fitness club unhappy with its response over use of CCTV camera,"After a closed-circuit television camera was discovered in a women-only area adjoining the showers and changing room in its Raffles Place outlet, Virgin Active Singapore did not initially apologise to its outraged members.",CONSUMER ISSUES,Singapore,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/NP_20190319_CAMERA19A_4702363.jpg?itok=Ef9WL7aO,40,12,6,22,TRUE
https://www.tnp.sg/news/singapore/woman-dies-after-getting-botox-treatment-police-investigating,Woman dies after getting Botox treatment; police investigating,"Mar 19, 2019 06:00 am","Police investigating death of property agent, 32, who fell into coma after session",Police are looking into a case of a 32-year-old woman who died after receiving Botox treatment from a clinic on the fringe of the business district.,MEDICAL & HEALTH,Singapore,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/NP_20190319_SABOTOX19ARHR_4702472.jpg?itok=BXMgIpj9,370,118,61,191,TRUE
https://www.tnp.sg/news/singapore/supermarket-worker-injured-e-scooter-pasir-ris-hit-and-run,Supermarket worker injured by e-scooter in Pasir Ris 'hit-and-run',"Mar 19, 2019 06:00 am",He is left with multiple injuries as other rider flees accident scene,"Riding his seated e-scooter to his workplace at White Sands shopping centre on Saturday, Mr Xie Zhi Hao, 27, turned off the pavement and got onto the pedestrian crossing with the green man still flashing.",ACCIDENTS FIRE FLOOD,Singapore,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/NP_20190319_YFPMD19NGIQ_4702254.jpg?itok=9NiBpHRi,555,98,133,324,TRUE
https://www.tnp.sg/news/singapore/couple-who-ordered-maid-eat-own-vomit-sentenced-jail,Couple who ordered maid to eat own vomit sentenced to jail,"Mar 19, 2019 06:00 am",,"A married couple repeatedly abused their maid, who was caned, kicked and force-fed a mixture of rice and sugar before being ordered to eat her own vomit when she threw up.",COURT & CRIME,Singapore,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/sqmaid19.jpg?itok=hi4wBX3l,2023,257,448,1318,TRUE
https://www.tnp.sg/news/singapore/security-officer-jailed-raping-maid,Security officer jailed for raping maid,"Mar 19, 2019 06:00 am",He also repeatedly molested her when no one else was home,"Undeterred by her rejection of his marriage proposal, a 53-year-old security officer repeatedly molested, then raped his niece's maid in the flat they shared.",COURT & CRIME,Singapore,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2016/04/21/jailred.jpg?itok=_mlUNbm2,112,26,2,84,TRUE
https://www.tnp.sg/sports/football/neil-humphreys-solskjaer-must-prove-his-worth-now,Neil Humphreys: Solskjaer must prove his worth now ,"Mar 19, 2019 06:00 am","Norwegian will be judged on how he improves players' fitness, restore side's balance in midfield and defence, and deal with Pogba enigma","Ole Gunnar Solskjaer loves to smile, so much so that he's often a weird cross between Macaulay Culkin in Home Alone and Hannibal Lecter.",FOOTBALL,Football,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/NP_20190319_NEIL19_4702420.jpg?itok=DXyfcass,25,2,1,22,FALSE
https://www.tnp.sg/news/singapore/ex-spring-singapore-executive-jailed-4-years-cheating-forgery,"Ex-Spring Singapore executive jailed 4 years for cheating, forgery ","Mar 19, 2019 06:00 am","He duped it of nearly $155k, kept $77k","A former senior executive of Spring Singapore, who duped the statutory board into disbursing nearly $155,000 and kept more than $77,000 of the monies, was given a four-year jail sentence yesterday.",COURT & CRIME,Singapore,,39,16,6,17,FALSE
https://www.tnp.sg/news/world/wife-christchurch-shooting-survivor-thought-he-was-road-accident,Wife of Christchurch shooting survivor thought he was in a road accident,"Mar 19, 2019 06:00 am",,"CHRISTCHURCH, NEW ZEALAND :� Lying outside a Christchurch mosque, bleeding from a gunshot wound after a bullet tore through his chest, Mr Abbas Tahir Endrise was unable to muster any words in what he feared was a final phone call to his pregnant wife.",WORLD,World,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/NP_20190319_HURT19_4701902.jpg?itok=4g9lnfdO,16,2,0,14,FALSE
https://www.tnp.sg/entertainment/music/health-conscious-jeff-chang-still-eats-local-fans-food-gifts,Health-conscious Jeff Chang still eats local fans' food gifts,"Mar 19, 2019 06:00 am",Taiwan's Prince of Ballads Jeff Chang's Singapore concert will be a 'perfect date night' for couple,"Love songs have been a staple of Mandopop singer Jeff Chang's 30-year career, and he remains Taiwan's Prince of Ballads.",CELEBRITIES,Music,https://www.tnp.sg/sites/default/files/styles/rl380/public/articles/2019/03/19/np_20190319_jljeff19_47016292.jpg?itok=JFUNZGt6,2,0,0,0,FALSE
https://www.tnp.sg/news/singapore/ex-logistics-manager-fined-27000-taking-bribes,"Ex-logistics manager fined $27,000 for taking bribes","Mar 19, 2019 06:00 am",,"A former logistics manager was fined $27,000 yesterday for receiving bribes from employees of Cycle and Carriage Industries, JPN Industrial Trading and Nordic Lift-Truck.",COURT & CRIME,Singapore,,0,0,0,0,FALSE
