url,headline,published_date,keywords,tag,lead,copy, img_src
https://www.tnp.sg/news/singapore/taxi-passenger-who-alighted-ecp-cabby-appeared-dazed,Passenger who alighted on ECP from moving taxi: Cabby appeared 'dazed',"Mar 11, 2019 06:00 am",COMMUNITY ISSUES,Singapore,The passenger who alighted from a moving taxi on the Benjamin Sheares Bridge did so because he thought the cabby had stopped the vehicle after colliding with the centre divider.,"Speaking to The New Paper yesterday, the passenger's brother-in-law, Mr Jameel Mohamed, said the 57-year-old was shaken by the accident.""My brother-in-law was in shock and the taxi driver appeared dazed. When the driver slowed to a stop, my brother-in-law got out, thinking the driver stopped because of the accident,"" Mr Jameel said.""No one would want to get out because it was right in the middle of the East Coast Parkway, but he was more afraid of being in the cab,"" added Mr Jameel, a money changer.The accident happened last Friday at about 1.10pm.A dashcam video of the incident went viral after it was uploaded onto Roads.Sg.It showed a Comfort taxi swerving in and out of the right-most lane on the bridge. The taxi then hits the centre divider of the expressway, before swerving across two lanes.Other road users are seen slowing down or moving out of the way to avoid the taxi.As the taxi slows down, its left passenger door opens and a man steps out. He closes the door and moves to the side of the road as the taxi moves forward.Mr Jameel, 44, said his brother-in-law, whose name he gave only as Mohamed, had hailed the taxi around 1pm from Marine Terrace to go to the Masjid Jamae mosque in South Beach Road for prayers.According to him, the cabby, who looked to be an elderly man, began to drive haphazardly on the expressway, moving in and out of lanes and driving too close to the centre divider.Mr Jameel said: ""My brother-in-law asked the driver to stop if he was not fit to drive, but the driver only turned to look at him, and did not respond.""Seconds later, the taxi hit the concrete railing.Mr Jameel said that as his brother-in-law stepped out of the taxi, the cabby drove off, leaving him on the ECP.Thankfully, a woman in a red car driving behind the taxi stopped and gave him a ride.Mr Jameel said: ""The lady asked him if he was hurt and if he needed medical attention. He was very shaken up and said he wanted to go home.""Some netizens had asked if the passenger could have done something to help the driver, instead of walking away.But Mr Jameel said: ""My brother-in-law is not a driver, so it's unfair for people to think that he could have done anything in that situation. He didn't call for help because he thought since the driver drove off, he had recovered and was fine.""Comfort DelGro's group chief corporate communications officer Tammy Tan said the driver had ""blacked out momentarily"", and woke up to an empty car.""He wanted to get off the expressway to seek medical help and continued driving slowly until he was out of the expressway and at the Rochor Road exit gantry.""The driver had then called for help and was admitted to hospital for observation.",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_ATECP11_4682988.jpg?itok=Zak6N9EB
https://www.tnp.sg/news/singapore/society-more-understanding-down-syndrome-now,Society more understanding of Down syndrome now,"Mar 11, 2019 06:00 am",COMMUNITY ISSUES,Singapore,Changing a person's mindset or attitude is not impossible but it will take time.,"According to Mr Moses Lee, executive director of the Down Syndrome Association Singapore (DSA), society is now more understanding about people with Down syndrome.When DSA was established in 1996, it saw a limited awareness of Down syndrome.Mr Lee 42, told The New Paper: ""Over the last two decades, society has opened up more and is more receptive to and understanding of people with Down syndrome.""This is very encouraging to see as we are all working towards Singapore being a more accepting and inclusive society.""The change can largely be attributed to an increase in education, awareness campaigns, community outreach and volunteer work from the community, he added.During this time, DSA has also evolved and developed its programmes and services.Today, the four key services it provides are children's education services, adult education services, enrichment programmes and family support services.In 2004, it developed its Adult Enhancement Programme (AEP), which aids in developing young adults with Down syndrome with vocational and social skills.One member of the AEP, Mr Benjamin Lee, 31, who has been in the programme since 2009, told TNP that he learnt about money, computer and cooking skills.Said Mr Lee: ""I'm good at cooking and I'm helping my mum with it.""He also enjoys going to AEP as he gets to see his friends and trainers.DSA established the Integrated Facilitation Support Programme (IFSP) in 2009, to help give a person with Down syndrome the opportunity to benefit from a mainstream education environment, from kindergarten to primary school.Anna Ow, 14, who graduated from IFSP in 2017, is now in Crest Secondary School.""I enjoy going to school, and I like all my subjects,"" she said, adding that her friends and teachers are what she enjoy about school.""My teachers are nice and teach us in a fun way.""Anna also takes part in several enrichment programmes at DSA, such as creative dance, baking and bowling.""I want to show that whatever people can do, we can also do it,"" she said.The World Down Syndrome Day celebration will be held on March 16 at Our Tampines Hub. The event consists of a community walk, followed by a family carnival with food, games and performances by several DSA activity groups.Anna is particularly excited about the performances.""I will be performing three dances with my creative dance team,"" she said. ""I am very excited because I really like dancing.""",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_SBDOWN11DQC2_4682857.jpg?itok=y0LTdg1Y
https://www.tnp.sg/news/world/two-singaporeans-among-52-arrested-malaysia-nightclub-raid,Two Singaporeans among 52 arrested in Malaysia nightclub raid,"Mar 11, 2019 06:00 am",COURT & CRIME,World,"Two Singaporeans were among 52 people nabbed when police raided a nightclub at Jalan Bukit Bintang, Kuala Lumpur, early yesterday morning.","The 2.45am raid was conducted at the same nightclub that saw a grenade attack in 2014 that killed a car jockey and injured 12 others, reported The Star Online.Police chief Comm Mazlan Lazim said the Singaporeans and two other men were found in a room with bottles of drink which contained drugs.""They were with four Chinese national GROs (guest relations officers) at the time when our K9 unit detected the drugs in the nightclub,"" he told reporters after the raid.He said police tested 81 people aged between 20 and 50, with 37 of them, including nine women, testing positive for drugs.""We also arrested 15 GROs, 10 of them from China and five from Vietnam, during the raid,"" he said.All those detained were taken to the police headquarters for further action.",
https://www.tnp.sg/news/singapore/shorter-training-and-reservist-stints-after-safety-focus,"Shorter training and reservist stints, after safety focus","Mar 11, 2019 06:00 am",COMMUNITY ISSUES,Singapore,"The latest batch of Singapore Armed Forces (SAF) army recruits, some who had enlisted in January, graduated on Saturday after completing a shorter 12km route march.","Unlike previous batches, the cohort of about 3,500 recruits from the Basic Military Training Centre did not undertake the usual 24km graduation march before their parade at the Marina Bay floating platform.In a Facebook post the same day, the Singapore Army said the recruits were unable to complete the required build-up training in time.As part of their Basic Military Training, recruits go on route marches that progressively become longer, starting at less than 5km before culminating in the 24km march.However, a two-week timeout was called after the death in January of actor and operationally ready national serviceman (NSman) Aloysius Pang, who had sustained serious injuries during an overseas military exercise.It was the fourth training- and operations-related fatality in the SAF reported since September 2017.The timeout was from Jan 23 to Feb 6. Although it was progressively lifted from Feb 7, training for national servicemen was affected.This also included in-camp training (ICT) sessions that were either shortened or cancelled.In the same Facebook post, the Singapore Army said it cancelled ICT for three national service units as the sessions fell within or immediately after the timeout.It added that the cancellation will not affect the fulfilment of their operationally ready national service training cycle.There has been no other cancellation of ICT for national service units, and the Individual Physical Proficiency Test for NSmen has also resumed.But on Saturday, the army announced the cancellation of this year's Safra Singapore Bay Run and Army Half Marathon to allow it to better manage the year's tempo, it said.An NSman, who declined to be named, received news that his high-key training session last month was cancelled just days before it was due to start.""I think they did not want us to go to camp and not be able to do anything because of the reviews. It's understandable because it shows them making the safety of soldiers a priority,"" he added.Others who have continued with their training after the timeout said there was a greater emphasis on adherence to safety protocols.For instance, the work-rest cycle based on ambient temperature readings was more strictly adhered to. This was to allow soldiers to have enough rest and hydration, said an NSman from the combat engineers formation, who completed his two-week high-key training late last month.Businessman John Koh, 37, completed his last ICT with an armour unit last Thursday.His two-week training, consisting of brigade-level war-gaming and planning with no actual deployment of troops, was cut short by a day. A one-day ""technical break"" was also added on March 3.On the recent safety focus, he said: ""It is important to remind NSmen on training safety and update (them) on previous training incidents because NSmen return only once a year for training.""",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_NSMEN11_4682977.jpg?itok=fsjgHLVE
https://www.tnp.sg/news/singapore/colleagues-run-north-pole-marathon-charity,Colleagues to run North Pole marathon for charity,"Mar 11, 2019 06:00 am",COMMUNITY ISSUES,Singapore,Nothing defines a challenge more than running a marathon at the North Pole.,"Colleagues Andrea Bonanomi and Thomas Hennessy will be among 55 participants who will run the 17th FWD North Pole Marathon on April 9 on Barneo, a drifting ice camp that floats about the North Pole between the latitudes of 89 deg north and 90 deg north.Mr Hennessy, 55, and Mr Bonanomi, 30, had run two full marathons together, and decided that the next challenge worth pursuing is running the 42.195km distance at the North Pole.Mr Hennessy, who is from Ireland, told The New Paper that they could have done an ultramarathon and run for 80km, but they felt that the 17th FWD North Pole Marathon would be more of a challenge given the climate and the temperature.According to the official website of the FWD North Pole Marathon, the temperature at the North Pole can go below -30 deg C.Also, the race is the only certified marathon that is run entirely ""on"" water, as participants will be running on an ice sheet, two to four metres thick, above the Arctic Ocean.There is also the potential presence of polar bears, and camp operators keep rifles to scare them away.Mr Bonanomi and Mr Hennessy, who work for a courier company here, do not consider themselves experienced runners but have confidence in their fitness and ability to complete the race.This will be Mr Bonanomi's third full marathon and Mr Hennessy's sixth.However, they are concerned about the impact of the harsh physical conditions and the mental pressures that come with it.Mr Bonanomi, who is from Italy, said: ""We can go outside (in Singapore) and do a marathon now because we have already done it before. But when you go there, there are a lot of uncertainties.""You may be completely blind because everything is white, it is super cold, and there may be strong winds, animals, the surface... a lot of things can happen.""The men aim to raise funds for the Make-a-Wish Foundation, sports co-operative Runninghour, and humanitarian aid organisation Direct Relief.Mr Bonanomi said: ""The event is a special once-in-a-lifetime adventure and a challenge for us, but the point is that we are doing some good.""",https://www.tnp.sg/sites/default/files/styles/large-portrait/public/articles/2019/03/11/NP_20190311_SDRUN11K22P_4682738.jpg?itok=AcKBdI3X
https://www.tnp.sg/entertainment/tv/emilia-clarke-game-thrones-more-nudity,Emilia Clarke: Game Of Thrones is about more than nudity,"Mar 11, 2019 06:00 am",Celebrities,TV,"Even as the focus has shifted onto her Game Of Thrones co-star Kit Harington over their much-talked-about sex scene in the hit fantasy series' Season 7 finale, Emilia Clarke is still tired of getting asked about nudity.","The 32-year-old English actress, who plays the all-conquering Mother of Dragons Daenerys Targaryen, has been the only main female cast member who has gone topless for several key scenes over the show's eight-year run.When asked if she was glad that the spotlight was now on Harington's bare bum, she feels questions about nudity - male or female - are missing the point.""I think (it) speaks much more to the society that we live in, that it keeps asking this question. (It is) the simple thing of the storyline requiring for that to happen,"" she said in a roundtable interview at the Corinthia Hotel in London last month.Clarke was there to promote the eighth and final season of Game Of Thrones, which premieres on HBO (StarHub TV Ch 601/Singtel TV Ch 420) on April 15 at 9am, with a same-day encore at 10pm. It is also available on HBO Go and HBO On Demand.She added: ""Kit's arse, someone else's arse, my arse, it doesn't matter. It's not what the show is about, it's not what any bit of acting is about.""The steamy scene saw the subtle flirting between Daenerys and Harington's character Jon Snow finally consummated - with an incestuous twist, as their aunt-nephew relationship was revealed simultaneously.That Clarke and Harington are close friends made the scene equally uncomfortable in real life.She said: ""It doesn't stop being weird. You put us in a room together and it is just non-stop giggling.""But going into Season 8, fans can expect the relationship between Jon and Daenerys to get more intense.Clarke said: ""It is the most important relationship that either of them has. I think it is a really, really defining thing for them both.""After reading the Season 8 script for the first time, she said she spent three hours walking aimlessly round London trying to process it.Said Clarke: ""Because it is the last one, you go in reading it with a different mindset than you would reading any other season.""It might as well have been raining and I would have just walked in it, not knowing what to do. So yeah, it's a good one.""She added to laughter from the reporters: ""Every part of this last season is a surprise. The end. If I say more, I am going to get told off.""Despite playing such an iconic role as Daenerys, Clarke said she has no concerns about being pigeon-holed.Shortly after filming for the final season wrapped last July, she was cast as the lead actress opposite Crazy Rich Asians star Henry Golding in Paul Feig's romantic-comedy Last Christmas, which finished shooting last month.Clarke, who has also starred in movies such as Terminator Genisys, Me Before You and Solo: A Star Wars Story, said: ""I don't think I could always be seen as Daenerys. There are so many things that define her that are quite restrictive in a funny way. There is not a lot of looseness to her.""She added: ""The other characters that I have played have been incredibly different. I, as a person, am incredibly different. So I'm not scared of getting defined in that way. But to always be known for her is a compliment.""Having been part of Game Of Thrones since the first season was filmed in 2010 and aired a year later, Clarke said that for the moment, she is taking a break from the small screen.""It would be completely naive of me to say that I wouldn't want to do TV, because that is where a lot of the incredible writing, characters and directors are.""But I have an absolute romanticism around cinema so I want to dip my toes in that,"" she said.Comparing her first day on the Game Of Thrones set to her last almost a decade later, Clarke said there were equal amounts of fear, but who she was then and now could not be more different.""My first day, I was petrified.""I spent most of the first four or five seasons being just permanently scared of whether I was going to mess it up, whether someone was just suddenly going to come in and go, 'We've changed our mind',"" she said.""I was an absolute, just innocent, kid. I had no idea about the industry, I had no idea about myself or life... I had no idea about anything and then this show happened.""Recording her last scene was a deeply emotional experience, full of tears and something she would keep being reminded of in the future, said Clarke, who has a tattoo on her wrist depicting Daenerys' three dragons.She added: ""The most defining parts of my life have happened within the realms of (the show) and I have gone from being a kid to being a fully-fledged grown-up. So saying goodbye to the show is saying goodbye to that part of yourself.""""It is just like leaving home, leaving school, whatever significant thing that happens. But it has been a good ride.""",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_YFEMILIA11MOK6_4682127.jpg?itok=do7HBoke
https://www.tnp.sg/news/singapore/new-initiative-look-out-marsilings-underprivileged,New initiative to look out for Marsilingï¿½s underprivileged,"Mar 11, 2019 06:00 am",COMMUNITY ISSUES,Singapore,"An initiative launched yesterday will provide Marsiling's underprivileged residents with even more support, by stringing together a series of new and existing programmes in the estate.","Marsiling Cares aims to foster a neighbourly community in the area.Led by Marsiling grassroots volunteers and community partners, the programmes include tutorial classes for less privileged children in English and mathematics, and the setting up of a social service hub to help vulnerable families.The initiative was launched by Prime Minister Lee Hsien Loong, who was joined by Marsiling-Yew Tee GRC grassroots organisations' advisers Lawrence Wong, Zaqy Mohamad, Ong Teng Koon and Alex Yam at an event at Marsiling Park.Mr Zaqy, who is also Minister of State for National Development and Manpower, said: ""Marsiling Cares strings together many of our help initiatives, so that we can leverage on our resident outreach and make available to them a range of initiatives depending on what they need.""Marsiling will be among the estates where the first four Community Link hubs will be set up over the next two years, as announced by Minister for Social and Family Development Desmond Lee in Parliament last Tuesday.The other estates are Boon Lay, Jalan Kukoh and Kembangan-Chai Chee. These locations were chosen as they have a sizeable number of families with children living in rental flats.Community Link, which aims to provide customised support for vulnerable families, will include spaces for the community, including businesses and residents themselves, to run programmes or deliver services to help those in need.A local work group will pinpoint the needs of the Marsiling community and plan for services at the programme space.Among the other programmes under the initiative is the Marsiling Progress Class, where about 40 volunteers, including school teachers from the estate, offer tutorial classes for underprivileged children at Marsiling Community Club every Sunday.",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_CYMARSILING11_4682863.jpg?itok=P3srM59Q
https://www.tnp.sg/sports/football/neil-humphreys-give-liverpool-more-respect,Neil Humphreys: Give Liverpool more respect,"Mar 11, 2019 06:00 am",Football,Football,Liverpool could be forgiven for using their 4-2 victory against Burnley last night to gag their grumbling critics.,"The win felt like a timely act of defiance, a chance to silence those who refuse to acknowledge the Reds' outstanding season.In recent days, Juergen Klopp and Co have answered the same, daft questions with remarkable restraint.The queries were either disrespectful or downright ignorant, but they usually involved mental weakness, title collapses, Steven Gerrard slips and a 29-year-old monkey.Apparently, the Reds had succumbed to historic pressures. The Reds were done.Statistics confirmed the complete opposite, but facts were not being allowed to get in the way of a tired narrative.Liverpool, it seemed, were a lost cause.But they aren't. Of course they aren't. And their 4-2 win at Anfield last night in horrendous conditions was just the latest example of a team refusing to conform to the lazy storyline of myopic pundits.They deserve respect, not premature obituaries.Before kick-off, British commentaries suggested that the Reds were struggling with the ghosts of failed title races and Gerrard slips.But they now have 73 points, a higher total than Manchester United achieved at the same stage in 11 of Sir Alex Ferguson's 13 title wins.Their solitary defeat all season means they are eight points better off than they were at the same stage in 2014, when Luis Suarez was morphing into one of the most reliable finishers in world football.Liverpool are not imploding. They are only a point behind the most powerful economic force that British football has ever seen.Against Burnley, they were up against the omnipresent pressure in the media, the swirling, Arctic conditions and a farcical Burnley goal that should've been chalked off.And they prevailed, just as they have throughout a record-breaking season. Maybe this victory will usher in an urgent reappraisal because a huge banana skin presented itself after just six minutes.Burnley went ahead with a goal that missed the benefit of both common sense and a VAR (video assistant referee) reply.Stubborn romanticists that still cling to the quaint notion of incorrect decisions balancing themselves out across a season either didn't see Ashley Westwood's opener or are Manchester City supporters.The Burnley midfielder's whipped corner cleared Alisson's reach and dipped inside the back post. But Alisson was a squashed filling in a Claret sandwich, with James Tarkowski and Jack Cork pinning the goalkeeper to the turf.Goalkeepers are a protected species among officials, often winning free-kicks from minimal contact. But Alisson was impeded beneath Tarkowski in the way that concrete is impeded beneath a pneumatic drill.The goal should've been disallowed.Anfield was already a little jittery. A midday kick-off in gale-force conditions can knock the wind out of anyone's sails.But Westwood's fluke turned down the volume.Fortunately for the hosts, Tarkowski took it upon to himself to redress the balance in the 19th minute, when he failed to communicate with his own goalkeeper Tom Heaton.Both missed Mohamed Salah's low cross. Roberto Firmino obliged with a tap-in.Burnley's second defensive blunder 10 minutes later settled the contest. As defenders dithered, Adam Lallana intercepted with a feisty sliding tackle and the ball finally found its way to Sadio Mane to sweep home.Lallana was an unexpected addition to the line-up, considering the midfielder hadn't played a full 90 minutes in two years. But Klopp sought an injection of unpredictability and Lallana offered flashes of his former, lively self.Indeed his inclusion appeared to rouse the men ahead of him, with Mane, Firmino and Salah swopping passes and fizzing around Burnley's rather static back four.Firmino and Salah combined in the 67th minute to gift the Brazilian his second. Heaton's horrendous clearance was sliced straight to Salah, who raced towards the unprotected goalkeeper.A superb tackle denied Salah, but Firmino smashed in the loose ball.Burnley made for a twitchy final few moments, when substitute Johann Berg Gudmundsson stabbed in from close range in the 91st minute. But Mane then broke away to round Heaton and put the game to bed.Liverpool aren't out of the title race. They never really were and it's time for sceptics to acknowledge their success in clinging to the coat-tails of runaway giants.LIVERPOOL: Alisson, Alexander-Arnold (Sturridge 86), Matip, van Dijk, Robertson, Wijnaldum (Henderson 68), Fabinho, Lallana (Keita 77), Salah, Firmino, ManeBURNLEY: Heaton, Bardsley, Tarkowski, Mee, Taylor, Hendrick (Gudmundsson 79), Westwood, Cork, McNeil, Barnes (Vydra 86), Wood (Crouch 79)",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_NEIL11_4683012.jpg?itok=DS9x2niX
https://www.tnp.sg/news/singapore/more-people-reporting-bad-road-conduct,More people reporting bad road conduct,"Mar 11, 2019 06:00 am",COMMUNITY ISSUES,Singapore,"More people are reporting bad behaviour on the roads to the Traffic Police (TP), with the number of summonses related to public feedback having increased 1.5 times in five years.","In response to queries from The Straits Times, TP revealed that it issued 2,500 summonses last year as a result of public feedback. In 2014, there were 1,700 such summonses.The total number of summonses issued by TP rose from 152,700 in 2015 to 181,000 last year.In all, TP received a total of 18,500 feedback messages last year from the public on irresponsible driving - more than double the number five years ago, 6,900 in 2014.A spokesman for TP said most of the public information came through the Singapore Police Force's online feedback portal, launched in 2014.Common behaviours highlighted were speeding, running red-light signals and dangerous or reckless driving, he added.In recent years, several road safety interest groups have sprung up on social media. They use videos captured by vehicle dashboard cameras to call out irresponsible motorists and other road users.One such group is Roads.sg, which has a Facebook following of more than 219,000.Its founder Aloysius Fong, 62, said the site receives up to 10 videos of unsafe driving behaviour daily, with about half of them related to motorists beating a red-light signal.Other communities include Beh Chia Lor at more than 131,000 followers, Singapore Reckless Drivers with over 130,000 followers, and SG Road Vigilante with more than 48,000 followers.If the video contains an incident of irresponsible driving behaviour, Mr Fong would usually forward it to TP via the online portal on behalf of the contributors.While more people are using dashcam videos to call out bad behaviour on the roads, this may not necessarily mean the problem is getting worse, said transport analyst Gopinath Menon.""This was probably already happening before, but they were never captured on videos.""It's possible that today we are more aware because of social media,"" said the senior research fellow at Nanyang Technological University.""If people are aware that they are being watched, the hope is that they will be more careful,"" he added.To curb irresponsible driving, the authorities may soon raise penalties for dangerous and careless driving, as well as road traffic offences such as illegal U-turns.Beyond penalties, Mr Menon said there are other ways to improve road safety.""Enforcement is one way, but it is not possible to do 100 per cent enforcement,"" he said.""Education and road infrastructure must all work together.""",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2017/11/01/mobile_phone-001.jpg?itok=dfAoEtNk
https://www.tnp.sg/news/world/pilot-crashed-ethiopian-plane-had-difficulties-wanted-return,"Pilot of crashed Ethiopian plane had ï¿½difficultiesï¿½, wanted to return","Mar 11, 2019 06:00 am",WORLD,World,"ADDIS ABABA, ETHIOPIA: The pilot of a Nairobi-bound Boeing 737 that crashed six minutes after takeoff from Addis Ababa yesterday had alerted controllers ""he had difficulties"" and wanted to turn back the plane carrying 157 people, the head of Ethiopian Airlines said.","There are no survivors.The pilot ""was given clearance"" to return to Addis Ababa, chief executive officer Tewolde GebreMariam told journalists in the Ethiopian capital when asked whether there had been a distress call, AFP reported.Another plane of the same model crashed during a Lion Air flight in Indonesia in October.Yesterday's flight left Bole airport in Addis Ababa at 8.38am (1.38pm, Singapore time), before losing contact with the control tower at 8.44am.The flight had unstable vertical speed after takeoff, said flight tracking website Flightradar24 on its Twitter feed, Reuters reported.Flight ET 302 crashed near the town of Bishoftu, 62km south-east of the capital Addis Ababa, the airline said.The aircraft had shattered and was severely burnt, a Reuters reporter at the scene of the crash said.""The group CEO who is at the scene right now deeply regrets to confirm there are no survivors,"" the airline tweeted alongside a picture of Mr GebreMariam in a suit holding a piece of debris inside a large crater.The dead included Kenyan, Ethiopian, American, Canadian, French, Chinese, Egyptian, Swedish, British and Dutch citizens.At Nairobi airport, many relatives of passengers were left waiting at the gate for hours, with no information from airport authorities. Some learnt of the crash from journalists.""We're just waiting for my mum. We're just hoping she took a different flight or was delayed. She's not picking up her phone,"" said Ms Wendy Otieno, weeping.Mr Robert Mutanda, 46, was waiting for his brother-in-law, a Canadian citizen.""No, we haven't seen anyone from the airline or the airport,"" he told Reuters at 1pm, more than three hours after the flight was lost. ""Nobody has told us anything, we are just standing here hoping for the best.""Kenyan officials did not arrive at the airport until 1.30pm, five hours after the plane went down.This is the second recent crash of the relatively new 737 MAX 8, the latest version of Boeing's workhorse narrowbody jet that entered service in 2017.The same model crashed into the Java Sea shortly after takeoff from Jakarta on Oct 29, killing all 189 people on board the Lion Air flight.The cause of that crash is still under investigation.A preliminary report issued in November, before the cockpit voice recorder was recovered, focused on airline maintenance and training and the response of a Boeing anti-stall system to a recently replaced sensor but did not give a reason for the crash.A final report is due later this year.The crash comes as Ethiopian has been snapping up stakes in small carriers around the continent to pre-empt potential rivals and become the dominant pan-African airline.Its last major crash was in January 2010, when a flight from Beirut went down after takeoff, killing all 90 onboard.",https://www.tnp.sg/sites/default/files/styles/medium/public/articles/2019/03/11/NP_20190311_CRASH11OZBH_4682999.jpg?itok=MdKvFVxS
